City Name,Country Code,Latitude,Longitude,Temperature,Humidity (%),Cloudiness (%),Wind Speed
mahebourg,mu,-20,57,84.2,74,75,21.92
tokzar,af,0,0,0,0,0,0
caravelas,br,-17,-39,81.31,100,0,15.84
umm lajj,sa,25,37,82.21,55,0,7.56
dikson,ru,73,80,-0.1,97,64,14.61
tasiilaq,gl,65,-37,15.8,72,44,5.82
cockburn town,tc,21,-71,72.9,100,0,6.55
qaanaaq,gl,77,-69,11.2,90,48,5.73
port elizabeth,za,-33,25,68,100,90,5.82
hermanus,za,-34,19,70.29,61,20,8.57
san cristobal,ec,-1,-79,60.43,100,100,2.26
upernavik,gl,72,-56,31.86,94,92,27.25
longyearbyen,sj,78,15,12.2,56,40,14.99
barentsburg,sj,0,0,0,0,0,0
ancud,cl,-41,-73,43.42,85,0,2.98
cidreira,br,-30,-50,71.01,94,48,2.86
ushuaia,ar,-54,-68,48.2,66,40,17.22
alaca,tr,40,34,37.21,92,32,4.05
vila do maio,cv,15,-23,69.8,77,20,10.29
vygonichi,ru,53,34,15.8,66,75,13.42
saint george,bm,32,-64,68,77,90,29.97
taolanaro,mg,0,0,0,0,0,0
albany,au,-35,117,66.82,62,8,14.12
lisakovsk,kz,52,62,15.97,99,80,5.1
port alfred,za,-33,26,66.28,100,92,1.52
teguise,es,29,-13,66.2,82,20,8.05
goderich,sl,0,0,0,0,0,0
bredasdorp,za,-34,20,75.2,53,12,17.22
krutinka,ru,56,71,15.39,91,56,13.11
busselton,au,-33,115,71.5,93,0,20.94
nuuk,gl,64,-51,33.8,74,75,3.36
victoria,sc,-4,55,84.2,74,75,10.29
belushya guba,ru,0,0,0,0,0,0
hithadhoo,mv,0,73,84.28,100,0,9.35
sao joao da barra,br,-21,-41,75.2,94,0,19.3
pimentel,pe,-6,-79,68,94,0,5.82
cape town,za,-33,18,80.6,42,0,13.87
urdoma,ru,61,48,14.94,77,88,4.05
necochea,ar,-38,-58,62.68,87,0,5.61
serik,tr,36,31,59,41,75,4.7
sisimiut,gl,66,-53,15.21,70,56,1.19
ostrovnoy,ru,68,39,20.02,95,36,11.88
colorado,br,-22,-51,72.67,91,76,3.04
ribeira grande,pt,38,-28,48.2,70,40,13.87
saint-philippe,re,-21,55,85.89,62,0,6.93
makokou,ga,0,12,79.42,81,20,3.04
tumannyy,ru,0,0,0,0,0,0
illoqqortoormiut,gl,0,0,0,0,0,0
shchelyayur,ru,0,0,0,0,0,0
ormara,pk,25,64,79.87,66,0,9.91
georgetown,sh,-7,-14,78.66,100,64,15.95
safranbolu,tr,41,32,35.6,80,75,6.93
jaen,pe,-5,-78,60.03,96,80,1.03
cap malheureux,mu,-19,57,84.2,74,75,21.92
casablanca,ma,33,-7,63.57,88,40,28.86
castro,cl,-42,-73,42.88,100,0,3.6
jamestown,sh,-15,-5,74.16,100,0,12.93
narsaq,gl,60,-46,24.8,68,5,1.12
klaksvik,fo,62,-6,32,100,92,5.82
axim,gh,4,-2,82.03,96,20,9.08
bathsheba,bb,13,-59,73.4,100,75,10.29
algiers,dz,36,3,64.4,59,75,3.36
torbay,ca,47,-52,34.75,100,90,4.7
itarema,br,-2,-39,74.11,100,92,1.48
east london,za,-33,27,73.4,83,75,9.17
marsaxlokk,mt,35,14,69.8,60,0,8.05
baghdad,iq,33,44,69.8,43,0,6.93
attawapiskat,ca,0,0,0,0,0,0
niono,ml,14,-5,93.28,26,92,8.63
jatai,br,-17,-51,68.85,97,76,5.99
thinadhoo,mv,0,72,84.15,100,64,13.15
vila velha,br,-3,-38,75.2,94,40,6.93
agadez,ne,16,7,86,20,0,11.41
mecca,sa,21,39,93.2,24,0,9.01
darnah,ly,32,22,63.54,94,56,20.15
chimbote,pe,-9,-78,66.51,92,76,3.31
luderitz,na,-26,15,77,47,0,2.24
souillac,mu,-20,57,84.2,74,75,21.92
berlin,us,41,-72,38.3,93,90,17.22
tiznit,ma,29,-9,60.61,94,92,9.42
viligili,mv,0,0,0,0,0,0
benguela,ao,-12,13,82.4,58,20,2.86
punta arenas,cl,-53,-70,48.2,76,75,12.75
orda,ru,57,56,16.15,93,76,4.76
turukhansk,ru,65,87,-7.43,76,56,14.12
havelock,us,34,-76,56.34,54,1,16.11
alta floresta,br,-9,-56,72.09,97,32,2.04
novoleushkovskaya,ru,45,39,32.31,100,12,6.55
tevriz,ru,57,72,16.83,76,20,6.51
grand river south east,mu,0,0,0,0,0,0
toftir,fo,0,0,0,0,0,0
chapais,ca,49,-74,21.2,79,90,10.29
vieques,us,0,0,0,0,0,0
mar del plata,ar,-46,-67,60.48,55,0,16.84
saldanha,za,-33,17,82.4,30,0,3.36
dzerzhinsk,by,0,0,0,0,0,0
yacuiba,bo,-22,-63,68.8,91,80,2.53
ardabil,ir,38,48,42.8,75,75,13.87
dakar,sn,14,-17,66.2,93,20,11.41
amderma,ru,0,0,0,0,0,0
simplicio mendes,br,-7,-41,69.07,95,80,2.3
kazalinsk,kz,0,0,0,0,0,0
sao jose da coroa grande,br,-8,-35,73.3,99,68,2.08
tabou,ci,4,-7,79.2,99,48,7.29
tsihombe,mg,0,0,0,0,0,0
lucea,jm,18,-78,75.2,83,20,1.12
enterprise,us,45,-117,33.8,77,1,11.41
bobrovka,ru,52,45,5.31,92,32,8.08
messini,gr,37,22,53.6,87,75,5.82
saint-pierre,pm,46,-56,33.8,97,75,10.29
rincon,an,0,0,0,0,0,0
mocuba,mz,-16,36,75.6,100,92,3.09
la romana,do,18,-68,62.6,93,20,3.38
jupiter,us,26,-80,66.45,100,1,6.93
olafsvik,is,0,0,0,0,0,0
